CustomerID,Name,Email,Phone,Address
1,John Price,jeffreyfisher@example.net,001-700-623-9863,"85306 Barbara Garden Apt. 297, Claytonhaven, NC 50486"
2,Christopher Bennett,christopher93@example.org,412.514.2507x275,"9210 Payne Mount Apt. 775, North Angelside, KS 37215"
3,Roberto Tate,griffithronald@example.net,+1-725-838-4893x4411,"515 Burgess Dam, West Jasonmouth, NY 17262"
4,Pamela Miller,vcohen@example.com,867.612.3332x513,"247 Terri Divide Apt. 619, Thomasbury, OH 63076"
5,James Martinez,christopherstuart@example.org,624-475-3016x811,"06905 Rosales Place Apt. 476, Harrisfurt, MO 87771"
6,Natalie Hill,joneskim@example.net,(635)234-1319x98528,"Unit 5672 Box 0746, DPO AP 59155"
7,Willie Weeks,bernardamanda@example.org,950-671-6431x2393,"28902 Kathryn Canyon Apt. 062, South Nicole, AL 66082"
8,Anthony Jones,otaylor@example.net,713-687-3220x865,"003 Le Oval Apt. 391, West Jonathan, NC 61635"
9,William Cox,katelynspears@example.net,(266)804-0735x4963,"Unit 6910 Box 0501, DPO AP 94013"
10,Dr. Phillip Morris,ygill@example.org,001-260-225-8853x3927,"USCGC Stewart, FPO AP 32407"
11,Robert Patton,anthonymitchell@example.org,675.667.9320x91568,"738 Reyes Lakes, North Robertshire, WV 36023"
12,Renee Parker,shirley20@example.net,420-431-8968,"6041 Eric Motorway, Port Patrick, SC 36905"
13,Joseph Black,melissasolis@example.com,(808)372-5260x1219,"1553 Lisa Neck, North Trevorfort, NH 83981"
14,Ryan Dunlap,steven07@example.com,(935)253-3389,"76196 Kevin Ways Suite 344, North Joanville, SC 46036"
15,Linda Sullivan,walterselizabeth@example.org,(203)312-5897x457,"249 Melissa Stream Apt. 410, Rogerschester, GU 90772"
16,John Thompson,davidsonkaitlyn@example.com,(388)302-0181,"560 Walker Forges, New Josephburgh, MD 74949"
17,Stephanie Gonzalez,brianjackson@example.net,001-925-275-9857x084,"099 Jessica Creek Suite 018, North Walter, WI 46245"
18,Patricia Summers,samanthalong@example.net,328-550-9374x540,"522 Carrie Street, West William, MI 06738"
